References
,"Schmidt-Kloiber, A. & Hering, D.",2015,"www.freshwaterecology.info - an online tool that unifies, standardises and codifies more than 20,000 European freshwater organisms and their ecological preferences. Ecological Indicators 53: 271-282. doi: 10.1016/j.ecolind.2015.02.007"
,"Schmidt-Kloiber, A. & Hering, D. (eds.)",2024,"www.freshwaterecology.info - the taxa and autecology database for freshwater organisms, version 8.0 (accessed on 09.06.2024)."

"Ecological parameter:","tolerance score","","",
"Taxagroup: ","Bivalvia","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Ephemeroptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Heteroptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Odonata","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Plecoptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Trichoptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."


Taxagroup,Family,Subfamily,Taxon,tolerance score,,,,,,
"Taxagroup","Family","Subfamily","Taxon","tol","mtol","msen","sen","hsen","Ref"
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis meridionalis","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis muticus","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis navasi","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis neglectus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis nexus","0","0","1","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis nicolae","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis niger","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis nigrescens","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis nubecularis","0","0","1","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis pasquetorum","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis pavidus","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis pseudorhodani","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis punicus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis rhodani","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis scambus","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis sinaicus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis strugensis","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis subalpinus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis tracheatus","0","0","1","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis tricolor","0","0","0","1","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis vardarensis","0","1","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis vernus","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Baetopus tenellus","0","0","0","1","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Baetopus wartensis","0","0","1","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Centroptilum litura","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Centroptilum luteolum","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Centroptilum obtusum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Centroptilum pirinense","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon cognatum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon degrangei","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon dipterum","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon inscriptum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon languidum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon petropolitanum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon praetextum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon schoenemundi","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon simile","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon bifidum","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon calabrum","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon concinnum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon fascicaudale","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon lacustre","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon macronyx","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon nemorale","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon parapulchrum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon pennulatum","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon pulchrum","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon stenopteryx","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Procloeon unguiculatum","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Pseudocentroptiloides nana","","","","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Pseudocentroptiloides romanica","","","","","",""
"Ephemeroptera","BEHNINGIIDAE","[Fam:BEHNINGIIDAE]","Behningia ulmeri","0","0","1","0","0",""
"Ephemeroptera","CAENIDAE","[Fam:CAENIDAE]","Cercobrachys minutus","","","","","",""
"Ephemeroptera","CAENIDAE","BRACHYCERINAE","Brachycercus europaeus","","","","","",""
"Ephemeroptera","CAENIDAE","BRACHYCERINAE","Brachycercus harisellus","","","","","",""
"Ephemeroptera","CAENIDAE","BRACHYCERINAE","Brachycercus harrisella","0","0","0","1","0",""
"Ephemeroptera","CAENIDAE","BRACHYCERINAE","Brachycercus kabyliensis","","","","","",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis belfiorei","0","1","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis beskidensis","1","0","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis horaria","","","","","",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis lactea","","","","","",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis luctuosa","1","0","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis macrura","1","0","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis martae","1","0","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis nachoi","","","","","",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis pseudorivulorum","1","0","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis pusilla","1","0","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis rivulorum","1","0","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis robusta","1","0","0","0","0",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis strugaensis","","","","","",""
"Ephemeroptera","CAENIDAE","CAENINAE","Caenis valentinae","","","","","",""
"Ephemeroptera","EPHEMERELLIDAE","EPHEMERELLINAE","Drunella paradinasi","","","","","",""
"Ephemeroptera","EPHEMERELLIDAE","EPHEMERELLINAE","Ephemerella aroni","","","","","",""
"Ephemeroptera","EPHEMERELLIDAE","EPHEMERELLINAE","Ephemerella ignita","","","","","",""
"Ephemeroptera","EPHEMERELLIDAE","EPHEMERELLINAE","Ephemerella mesoleuca","","","","","",""
"Ephemeroptera","EPHEMERELLIDAE","EPHEMERELLINAE","Ephemerella mucronata","0","0","1","0","0",""
